forecast,high_trend,low_trend
34.51107069221315,34.51107069221315,34.51107069221315
34.077106092973686,34.077106092973686,33.645452256296736
34.61425141919567,35.33731383279015,34.10544462873921
35.21248769303286,35.21248769303286,33.37577580024528
34.0115724310023,34.0115724310023,32.530155070583696
34.011583651434634,35.017986753584765,32.69814782132077
35.250884925520126,36.203487726748904,32.772747415898934
34.69608979885744,36.85859731671743,33.01235039804848
33.85074652005928,35.45822288598991,31.22188293698542
34.542403241213826,36.066715962202174,31.840887178647804
